timestamp,tx,ty,tz,qx,qy,qz,qw,kf_id,map_id
1772193954.250943,-2.952625,-0.050913,12.917243,0.008931,0.606806,0.046406,0.793444,83,0
1772193952.435952,-5.413754,-0.247903,10.181160,0.018715,0.191428,0.038196,0.980585,76,0
1772193953.810940,-3.681106,-0.128418,12.500701,0.018962,0.513957,0.033661,0.856946,81,0
1772193950.785933,-6.735483,-0.290762,6.883089,0.017231,0.063022,0.029689,0.997422,68,0
1772193952.930977,-4.889563,-0.248845,11.132337,0.020076,0.339974,0.046361,0.939077,78,0
1772193952.710950,-5.131569,-0.229041,10.729798,0.018822,0.275844,0.036107,0.960339,77,0
1772193974.325875,-4.266026,0.358628,13.633722,-0.045162,0.988394,-0.019715,0.143698,201,0
1772193951.500955,-6.116043,-0.266811,8.395801,-0.000469,0.162066,0.017726,0.986621,72,0
1772193951.115954,-6.438122,-0.326632,7.566701,0.017254,0.098936,0.023751,0.994661,70,0
1772193954.580948,-2.400103,-0.042179,13.148767,0.006629,0.630703,0.048316,0.774491,84,0
1772193954.965941,-1.723022,0.049207,13.306294,-0.006448,0.672478,0.033024,0.739352,86,0
1772193954.745947,-2.121193,-0.019784,13.226904,0.001679,0.648931,0.037726,0.759909,85,0
1772193955.130943,-1.417144,0.066244,13.302849,-0.013248,0.707452,0.033403,0.705847,87,0
1772193955.240942,-1.225627,0.065592,13.293375,-0.002988,0.721754,0.034217,0.691297,88,0
1772193953.205957,-4.538401,-0.187782,11.620537,0.025290,0.382452,0.046663,0.922450,79,0
1772193956.945893,1.730621,0.351501,12.415955,0.008969,0.828478,0.033513,0.558946,100,0
1772193956.780939,1.483429,0.327988,12.526889,0.007575,0.827028,0.018261,0.561813,99,0
1772193955.570942,-0.623196,0.163953,13.206887,-0.004779,0.745845,0.042194,0.664765,90,0
1772193954.030946,-3.315267,-0.108386,12.745669,0.014683,0.567787,0.043886,0.821874,82,0
1772193955.680962,-0.415462,0.174403,13.162085,-0.003498,0.746849,0.046359,0.663366,91,0
1772193957.275935,2.149377,0.369158,12.192440,0.005457,0.843675,0.026246,0.536184,102,0
1772193957.110908,1.940692,0.341565,12.299021,0.014965,0.835047,0.023857,0.549457,101,0
1772193956.340936,0.769775,0.260442,12.818953,-0.003625,0.793578,0.012453,0.608330,96,0
1772193956.120934,0.351663,0.228156,12.952100,-0.005960,0.764675,0.035925,0.643387,94,0
1772193955.845947,-0.129287,0.160953,13.090119,0.006535,0.747572,0.042288,0.662801,92,0
1772193956.615939,1.236089,0.292142,12.641752,-0.001267,0.824739,0.017170,0.565251,98,0
1772193956.450942,0.954337,0.263396,12.742739,-0.001686,0.806143,0.014672,0.591537,97,0
1772193956.230930,0.555160,0.251965,12.886808,-0.003290,0.775590,0.024971,0.630735,95,0
1772193955.955952,0.060622,0.181266,13.036016,0.001973,0.752590,0.041395,0.657184,93,0
1772193955.405941,-0.932935,0.113369,13.260577,-0.010946,0.744193,0.046582,0.666249,89,0
1772193957.770924,2.844791,0.440027,11.891241,-0.000046,0.885348,0.023391,0.464341,105,0
1772193957.440923,2.383065,0.418053,12.093515,-0.003587,0.857369,0.030220,0.513801,103,0
